Subject,Predicate,Object,Section,PMCID
CollapseOfInhibition,initiates,Seizure,Results,5681703
ModelOutput,reproduces,PatientEEGPattern,Results,5681703
DepolarizingGABAAAmount,determines,SpikeMorphology,Results,5681703
Stiripentol,prolongs,GABAAOpeningDuration,Results,5681703
Benzodiazepine,increases,GABAAAmplitude,Results,5681703
Stiripentol,reduces,SeizureSeverity,Results,5681703
Benzodiazepine,reduces,SeizureSeverity,Results,5681703
StiripentolAndBenzodiazepine,has,SynergisticEffect,Results,5681703
SynergisticEffect,suppresses,SeizureLikeActivity,Results,5681703
DepolarizingGABA,playsRoleIn,SeizureInitiation,Discussion,5681703
ActivityDependentEGABAShift,explains,InterictalIctalTransition,Discussion,5681703
FastInterneuronNetwork,triggers,PreictalFastActivity,Discussion,5681703
SCN1ALossOfFunction,induces,NetworkHyperexcitability,Discussion,5681703
DynamicGABAergicShift,accountsFor,EEGPatternDiversity,Discussion,5681703
ComputationalModel,providesInsightInto,DravetPathophysiology,Discussion,5681703
GABAAReceptorModulation,represents,TherapeuticTarget,Discussion,5681703
DravetSyndrome,isA,SevereEpilepticEncephalopathy,Introduction,3405017
DravetSyndrome,isAssociatedWith,SCN1AMutation,Introduction,3405017
SCN1A,encodes,Nav1.1SodiumChannel,Introduction,3405017
DravetSyndrome,hasEarlyOnset,Seizure,Introduction,3405017
DravetSyndrome,hasFeature,FebrileSeizure,Introduction,3405017
DravetSyndrome,hasFeature,AfebrileSeizure,Introduction,3405017
DravetSyndrome,hasFeature,StatusEpilepticus,Introduction,3405017
DravetSyndrome,hasFeature,DevelopmentalRegression,Introduction,3405017
DravetSyndrome,isResistantTo,AntiepilepticDrug,Introduction,3405017
PCDH19,isAssociatedWith,EpilepticEncephalopathy,Introduction,3405017
TSPYL4,isCandidateGeneFor,GEFSPlus,Introduction,3405017
ChineseEpilepsyCohort,hasSize,100Patients,Methods,3405017
DravetSyndromeGroup,hasSize,18Patients,Methods,3405017
NonDravetGroup,hasSize,82Patients,Methods,3405017
SCN1AGene,screenedBy,DirectSequencing,Methods,3405017
PCDH19Gene,screenedBy,DirectSequencing,Methods,3405017
TSPYL4Gene,screenedBy,DirectSequencing,Methods,3405017
SCN1ASequencing,covers,AllExons,Methods,3405017
SCN1ASequencing,covers,SpliceJunction,Methods,3405017
PCDH19Sequencing,covers,AllCodingExons,Methods,3405017
TSPYL4Sequencing,covers,CodingRegion,Methods,3405017
DravetSyndromePatient,hasMutationIn,SCN1A,Results,3405017
SCN1AMutation,hasVariantType,TruncatingMutation,Results,3405017
SCN1AMutation,hasVariantType,MissenseMutation,Results,3405017
SCN1AMutation,hasVariantType,SpliceSiteMutation,Results,3405017
TruncatingMutation,isAssociatedWith,SevereIntellectualDisability,Results,3405017
SpliceSiteMutation,isAssociatedWith,SevereIntellectualDisability,Results,3405017
MissenseMutation,isAssociatedWith,MildIntellectualDisability,Results,3405017
SCN1AMutation,isMostly,DeNovo,Results,3405017
SCN1AMutation,spans,AllProteinDomains,Results,3405017
SCN1AVariant_pA104V,isTypeOf,MissenseMutation,Results,3405017
SCN1AVariant_pR393C,isTypeOf,MissenseMutation,Results,3405017
SCN1AVariant_pV422M,isTypeOf,MissenseMutation,Results,3405017
SCN1AVariant_pT793M,isTypeOf,MissenseMutation,Results,3405017
SCN1AVariant_pI1214R,isTypeOf,MissenseMutation,Results,3405017
SCN1AVariant_pV1612I,isTypeOf,MissenseMutation,Results,3405017
SCN1AVariant_pQ450X,isTypeOf,TruncatingMutation,Results,3405017
SCN1AVariant_pW738X,isTypeOf,TruncatingMutation,Results,3405017
SCN1AVariant_pL991fsX992,isTypeOf,FrameshiftMutation,Results,3405017
PCDH19Variant_pD377N,isTypeOf,MissenseMutation,Results,3405017
PCDH19Variant_pN340S,isTypeOf,MissenseMutation,Results,3405017
PCDH19Mutation,occursIn,SCN1ANegativePatient,Results,3405017
PCDH19Mutation,isAssociatedWith,FemaleLimitedEpilepsy,Results,3405017
TSPYL4Variant_pG60R,isTypeOf,MissenseMutation,Results,3405017
TSPYL4Variant,isInheritedFrom,AsymptomaticMother,Results,3405017
DravetSyndromePatient,hasFeature,AutismSpectrumDisorder,Results,3405017
SCN1AMutation,isAssociatedWith,AutismSpectrumDisorder,Results,3405017
SCN1AMutation,isAssociatedWith,VaccinationInducedSeizure,Results,3405017
Vaccination,canTrigger,Seizure,Results,3405017
SCN1ALossOfFunction,causes,NetworkHyperexcitability,Discussion,3405017
SCN1ATruncatingMutation,causes,Nav1.1Haploinsufficiency,Discussion,3405017
SCN1AMissenseMutation,causes,PartialLossOfFunction,Discussion,3405017
PCDH19Mutation,contributesTo,DravetLikePhenotype,Discussion,3405017
ModifierGene,influences,PhenotypicSeverity,Discussion,3405017
GeneticTesting,isImportantFor,DravetSyndromeDiagnosis,Discussion,3405017
EarlyGeneticDiagnosis,guides,ClinicalManagement,Discussion,3405017
DravetSyndrome,isA,SevereEpilepticEncephalopathy,Introduction,8633467
DravetSyndrome,hasFeature,ProlongedFebrileSeizure,Introduction,8633467
DravetSyndrome,hasFeature,AfebrileSeizure,Introduction,8633467
DravetSyndrome,hasEarlyOnset,Seizure,Introduction,8633467
DravetSyndrome,isPoorlyResponsiveTo,AntiseizureDrug,Introduction,8633467
DravetSyndrome,isAssociatedWith,IntellectualDisability,Introduction,8633467
DravetSyndrome,isAssociatedWith,SCN1AMutation,Introduction,8633467
SCN1A,encodes,Nav1.1SodiumChannel,Introduction,8633467
FGF21,isA,FibroblastGrowthFactor,Introduction,8633467
FGF21,actsAs,MetabolicRegulator,Introduction,8633467
FGF21,mediates,OxidativeStressResponse,Introduction,8633467
FGF21,regulates,GlucoseMetabolism,Introduction,8633467
FGF21,regulates,LipidMetabolism,Introduction,8633467
FGF21,isBiomarkerFor,MitochondrialDisease,Introduction,8633467
FGF21,hasNeuroprotectiveRole,CentralNervousSystem,Introduction,8633467
DSCohort,hasSize,22Patients,Methods,8633467
ControlCohort,hasSize,22HealthyChildren,Methods,8633467
DSDiagnosis,uses,ILAE2017Criteria,Methods,8633467
IntellectualDisability,assessedBy,DevelopmentalQuotient,Methods,8633467
SCN1AGene,analyzedBy,PCRSequencing,Methods,8633467
SCN1AGene,analyzedBy,MLPA,Methods,8633467
FGF21Level,measuredBy,ELISA,Methods,8633467
PlasmaSample,storedAt,Minus80Celsius,Methods,8633467
FGF21Level,logTransformedFor,StatisticalAnalysis,Methods,8633467
StatisticalAnalysis,uses,UnpairedTTest,Methods,8633467
StatisticalAnalysis,uses,PearsonCorrelation,Methods,8633467
Study,hasEthicsApproval,InstitutionalReviewBoard,Methods,8633467
DSCohort,hasMutationIn,SCN1A,Results,8633467
SCN1AMutation,hasVariantType,MissenseMutation,Results,8633467
SCN1AMutation,hasVariantType,TruncatingMutation,Results,8633467
SCN1AMutation,hasVariantType,SpliceSiteMutation,Results,8633467
SCN1AMutation,hasVariantType,ExonDeletion,Results,8633467
DSCohort,hasHigher,FGF21Level,Results,8633467
FGF21Level,isHigherIn,DravetSyndrome,Results,8633467
FGF21Level,isLowerIn,NormalControl,Results,8633467
FGF21Level,isHigherIn,NormalToMildIntellectualDisability,Results,8633467
FGF21Level,isLowerIn,ModerateToSevereIntellectualDisability,Results,8633467
FGF21Level,isHigherWith,ValproateTreatment,Results,8633467
FGF21Level,isNotAssociatedWith,SCN1AVariantType,Results,8633467
FGF21Level,isNotCorrelatedWith,SeizureFrequency,Results,8633467
ValproateTreatment,doesNotAlter,SeizureFrequency,Results,8633467
ValproateTreatment,doesNotCause,LiverFunctionDerangement,Results,8633467
FGF21Elevation,reflects,MitochondrialOxidativeStress,Discussion,8633467
DravetSyndrome,hasFeature,MitochondrialDysfunction,Discussion,8633467
MitochondrialOxidativeStress,stimulates,FGF21Release,Discussion,8633467
FGF21,actsAs,AdaptiveStressResponse,Discussion,8633467
FGF21,mayImprove,DevelopmentalOutcome,Discussion,8633467
FGF21,mayHave,NeuroprotectiveEffect,Discussion,8633467
Valproate,upregulates,FGF21Expression,Discussion,8633467
Valproate,modulates,HDACActivity,Discussion,8633467
HDACModulation,increases,FGF21GeneExpression,Discussion,8633467
FGF21,isPotential,Biomarker,Discussion,8633467
FGF21,isPotential,TherapeuticTarget,Discussion,8633467
FGF21Measurement,requires,ControlledSamplingTime,Discussion,8633467
DravetSyndrome,isA,SevereTreatmentResistantEpilepticEncephalopathy,Introduction,7754414
DravetSyndrome,hasHigh,SeizureBurden,Introduction,7754414
DravetSyndrome,hasComorbidity,NeurodevelopmentalAbnormality,Introduction,7754414
DravetSyndrome,hasHighRiskOf,EarlyMortality,Introduction,7754414
DravetSyndrome,isTreatedWith,Polypharmacy,Introduction,7754414
Fenfluramine,hasAnticonvulsantActivity,Seizure,Introduction,7754414
Fenfluramine,wasWithdrawnFor,CardiacValvulopathyRisk,Introduction,7754414
Fenfluramine,wasWithdrawnFor,PulmonaryArterialHypertensionRisk,Introduction,7754414
OLEStudy,enrolls,DravetSyndromePatient,Methods,7754414
OLEStudy,hasDesign,OpenLabelExtension,Methods,7754414
OLEStudy,follows,RandomizedControlledTrial,Methods,7754414
Fenfluramine,administeredAs,OralSolution,Methods,7754414
Fenfluramine,hasStartingDose,0.2mgPerKgPerDay,Methods,7754414
Fenfluramine,hasMaximumDose,0.7mgPerKgPerDay,Methods,7754414
Fenfluramine,hasReducedDoseWith,Stiripentol,Methods,7754414
Echocardiography,monitors,CardiacValveFunction,Methods,7754414
Echocardiography,monitors,PulmonaryArteryPressure,Methods,7754414
ECG,monitors,QTcInterval,Methods,7754414
OLEStudy,hasCohortSize,232Patients,Results,7754414
FenfluramineTreatment,hasMedianDuration,256Days,Results,7754414
FenfluramineTreatment,hasMeanDose,0.41mgPerKgPerDay,Results,7754414
FenfluramineTreatment,doesNotCause,ValvularHeartDisease,Results,7754414
FenfluramineTreatment,doesNotCause,PulmonaryArterialHypertension,Results,7754414
MitralValve,shows,TraceRegurgitation,Results,7754414
TraceRegurgitation,isTransientIn,OLEStudy,Results,7754414
AorticValve,shows,AbsentRegurgitation,Results,7754414
PulmonaryValve,shows,TraceRegurgitation,Results,7754414
QTcInterval,remainsWithin,NormalRange,Results,7754414
LowDoseFenfluramine,hasLowRiskOf,CardiovascularAdverseEffect,Discussion,7754414
FenfluramineDose,influences,CardiovascularRisk,Discussion,7754414
FenfluramineDuration,influences,CardiovascularRisk,Discussion,7754414
Fenfluramine,differsFrom,AnorecticUse,Discussion,7754414
Fenfluramine,hasFavorable,BenefitRiskProfile,Discussion,7754414
CardiovascularMonitoring,supports,LongTermFenfluramineUse,Discussion,7754414
DravetSyndrome,isA,DevelopmentalEpilepticEncephalopathy,Introduction,8581729
DravetSyndrome,isCausedBy,SCN1ALossOfFunction,Introduction,8581729
SCN1A,encodes,Nav1.1SodiumChannel,Introduction,8581729
Nav1.1SodiumChannel,isExpressedIn,InhibitoryInterneuron,Introduction,8581729
SCN1ALossOfFunction,causes,InterneuronHypoexcitability,Introduction,8581729
InterneuronHypoexcitability,leadsTo,NetworkHyperexcitability,Introduction,8581729
SCN1AMissenseVariant,canCause,DravetSyndrome,Introduction,8581729
SCN1AA1783V,isA,MissenseVariant,Introduction,8581729
SCN1AA1783V,isRecurrentIn,DravetSyndrome,Introduction,8581729
SCN1AA1783V,engineeredBy,SiteDirectedMutagenesis,Methods,8581729
SCN1AA1783V,expressedIn,tsA201Cell,Methods,8581729
tsA201Cell,isUsedFor,VoltageClampRecording,Methods,8581729
VoltageClampRecording,measures,SodiumCurrentDensity,Methods,8581729
VoltageClampRecording,measures,ActivationCurve,Methods,8581729
VoltageClampRecording,measures,InactivationKinetics,Methods,8581729
CorticalSliceCulture,derivedFrom,Scn1aA1783VMouse,Methods,8581729
Scn1aA1783VMouse,isA,ConditionalMouseModel,Methods,8581729
PatchClampRecording,measures,ActionPotentialFiring,Methods,8581729
PatchClampRecording,measures,InputResistance,Methods,8581729
SingleCompartmentModel,simulates,NeuronExcitability,Methods,8581729
ComputationalModel,includes,Nav1.1Current,Methods,8581729
ComputationalModel,includes,Nav1.6Current,Methods,8581729
SCN1AA1783V,maintains,NormalPeakSodiumCurrent,Results,8581729
SCN1AA1783V,shifts,VoltageDependentActivation,Results,8581729
VoltageDependentActivation,isShiftedTo,DepolarizedPotential,Results,8581729
SCN1AA1783V,accelerates,SlowInactivation,Results,8581729
SCN1AA1783V,doesNotAffect,FastInactivation,Results,8581729
SCN1AA1783V,increases,UseDependentCurrentRundown,Results,8581729
SCN1AA1783V,impairs,InterneuronFiring,Results,8581729
SCN1AA1783V,spares,PyramidalNeuronFiring,Results,8581729
Interneuron,shows,ReducedFiringFrequency,Results,8581729
Interneuron,shows,IncreasedRheobase,Results,8581729
Interneuron,shows,ReducedInputResistance,Results,8581729
ComputationalModel,predicts,InterneuronFiringDeficit,Results,8581729
InterneuronFiringDeficit,isComparableTo,Haploinsufficiency,Results,8581729
SCN1AA1783V,causes,FunctionalHaploinsufficiency,Discussion,8581729
AlteredChannelActivation,isPrimaryMechanismOf,InterneuronDysfunction,Discussion,8581729
SlowInactivationChange,hasSecondaryRoleIn,InterneuronDysfunction,Discussion,8581729
PreservedPeakCurrent,doesNotPrevent,SevereFunctionalImpairment,Discussion,8581729
SCN1AA1783V,explains,DravetPhenotype,Discussion,8581729
MissenseVariant,canMimic,TruncatingVariantEffect,Discussion,8581729
InterneuronSpecificDysfunction,underlies,DravetSyndrome,Discussion,8581729
Stiripentol,isA,AntiepilepticDrug,Introduction,6538379
Stiripentol,isUsedToTreat,DravetSyndrome,Introduction,6538379
DravetSyndrome,isA,SevereEpilepticEncephalopathy,Introduction,6538379
Stiripentol,inhibits,LDH5Isoenzyme,Introduction,6538379
LDH5Isoenzyme,catalyzes,OxalateSynthesis,Introduction,6538379
Oxalate,binds,CalciumIon,Introduction,6538379
CalciumOxalate,forms,KidneyCrystal,Introduction,6538379
Hyperoxaluria,promotes,CalciumOxalateNephropathy,Introduction,6538379
EthyleneGlycol,isMetabolizedTo,Oxalate,Introduction,6538379
HepG2Cell,isA,HumanHepatocyteCellLine,Methods,6538379
Hydroxyproline,induces,OxalateProduction,Methods,6538379
Stiripentol,administeredAt,TherapeuticConcentration,Methods,6538379
siRNA,targets,LDHA,Methods,6538379
LDHA,isSubunitOf,LDH5Isoenzyme,Methods,6538379
SpragueDawleyRat,usedAs,AnimalModel,Methods,6538379
HydroxyprolineDiet,induces,Hyperoxaluria,Methods,6538379
EthyleneGlycolAdministration,induces,AcuteOxalateNephropathy,Methods,6538379
YasueStaining,detects,CalciumOxalateCrystal,Methods,6538379
FTIRSpectroscopy,confirms,CalciumOxalateMonohydrate,Methods,6538379
Stiripentol,reduces,OxalateProduction,Results,6538379
OxalateProduction,decreasesWith,LDHAInhibition,Results,6538379
Stiripentol,reduces,UrineOxalateExcretion,Results,6538379
Stiripentol,reduces,CalciumOxalateCrystalVolume,Results,6538379
Stiripentol,protectsAgainst,EthyleneGlycolInducedRenalFailure,Results,6538379
Stiripentol,improves,RenalFunction,Results,6538379
Stiripentol,reduces,SerumCreatinine,Results,6538379
Stiripentol,reduces,KidneyCrystalDeposition,Results,6538379
Stiripentol,increases,UrineGlycolateExcretion,Results,6538379
DravetSyndromePatient,treatedWith,Stiripentol,Results,6538379
DravetSyndromePatient,hasLower,UrineOxalateExcretion,Results,6538379
PrimaryHyperoxaluriaPatient,receives,Stiripentol,Results,6538379
PrimaryHyperoxaluriaPatient,shows,ReducedUrineOxalate,Results,6538379
Stiripentol,inhibits,HepaticOxalateSynthesis,Discussion,6538379
LDH5Inhibition,reduces,SystemicOxalateBurden,Discussion,6538379
Stiripentol,hasPotentialUseIn,PrimaryHyperoxaluria,Discussion,6538379
Stiripentol,hasPotentialUseIn,EthyleneGlycolPoisoning,Discussion,6538379
Stiripentol,protectsAgainst,CalciumOxalateNephropathy,Discussion,6538379
Stiripentol,hasAcceptable,SafetyProfile,Discussion,6538379
LDH5Targeting,represents,TherapeuticStrategy,Discussion,6538379
EarlyOnsetEpilepsy,isA,HeterogeneousNeurologicDisorder,Introduction,7507365
EarlyOnsetEpilepsy,hasOnsetBefore,TwoYearsOfAge,Introduction,7507365
EarlyOnsetEpilepsy,canHave,GeneticEtiology,Introduction,7507365
GeneticEtiology,influences,Prognosis,Introduction,7507365
GeneticEtiology,influences,TreatmentResponse,Introduction,7507365
NormalBrainImaging,doesNotExclude,GeneticEpilepsy,Introduction,7507365
NextGenerationSequencing,enables,MultigeneTesting,Introduction,7507365
TargetedGenePanel,isTypeOf,NextGenerationSequencing,Introduction,7507365
TargetedGenePanel,hasAdvantageOf,TimeEfficiency,Introduction,7507365
TargetedGenePanel,hasAdvantageOf,CostEffectiveness,Introduction,7507365
TargetedGenePanel,isUsefulFor,EarlyOnsetEpilepsyDiagnosis,Introduction,7507365
Study,hasCohortSize,116Patients,Methods,7507365
Study,includes,KoreanPediatricPatients,Methods,7507365
EarlyOnsetEpilepsy,definedBy,SeizureOnsetBeforeTwoYears,Methods,7507365
Study,excludes,StructuralBrainAbnormality,Methods,7507365
Study,excludes,MetabolicInsult,Methods,7507365
Study,excludes,ChromosomalSyndrome,Methods,7507365
BrainMRI,usedToAssess,StructuralAbnormality,Methods,7507365
ElectroclinicalDiagnosis,follows,ILAE2017Classification,Methods,7507365
TargetedGenePanel,covers,76EpilepsyAssociatedGenes,Methods,7507365
NGSAnalysis,detects,GeneticVariant,Methods,7507365
GeneticVariant,classifiedBy,ACMGGuidelines,Methods,7507365
VariantClassification,includes,PathogenicVariant,Methods,7507365
VariantClassification,includes,LikelyPathogenicVariant,Methods,7507365
VariantClassification,includes,VariantOfUncertainSignificance,Methods,7507365
StatisticalAnalysis,uses,LogisticRegression,Methods,7507365
StatisticalAnalysis,uses,FisherExactTest,Methods,7507365
StatisticalAnalysis,uses,MannWhitneyTest,Methods,7507365
TargetedGenePanel,hasDiagnosticYield,ThirtyFourPointFivePercent,Results,7507365
DiseaseCausingVariant,identifiedIn,40Patients,Results,7507365
DiseaseCausingVariant,includes,PathogenicVariant,Results,7507365
DiseaseCausingVariant,includes,LikelyPathogenicVariant,Results,7507365
SCN1A,isMostFrequentlyDetectedGene,EarlyOnsetEpilepsy,Results,7507365
SCN1A,isAssociatedWith,DravetSyndrome,Results,7507365
PRRT2,isAssociatedWith,BenignFamilialInfantileEpilepsy,Results,7507365
PCDH19,isAssociatedWith,DravetSyndrome,Results,7507365
KCNQ2,isAssociatedWith,BenignFamilialNeonatalSeizure,Results,7507365
ARX,isAssociatedWith,EarlyOnsetEpilepticEncephalopathy,Results,7507365
SCN2A,isAssociatedWith,EarlyOnsetEpilepticEncephalopathy,Results,7507365
STXBP1,isAssociatedWith,EarlyOnsetEpilepticEncephalopathy,Results,7507365
SCN8A,isAssociatedWith,EarlyOnsetEpilepticEncephalopathy,Results,7507365
DEPDC5,isAssociatedWith,FocalEpilepsy,Results,7507365
AgeOfSeizureOnset,before,SixMonths,Results,7507365
SeizureOnsetBeforeSixMonths,isAssociatedWith,HigherDiagnosticYield,Results,7507365
FamilyHistoryOfEpilepsy,isAssociatedWith,DiseaseCausingVariant,Results,7507365
DevelopmentalDelay,doesNotAlter,DiagnosticYield,Results,7507365
IntractableEpilepsy,doesNotPredict,DiseaseCausingVariant,Results,7507365
DravetSyndrome,hasDiagnosticYield,EightyOnePercent,Results,7507365
DravetSyndrome,isAssociatedWith,SCN1AVariant,Results,7507365
SCN1AVariant,hasVariantType,MissenseMutation,Results,7507365
SCN1AVariant,hasVariantType,SpliceSiteMutation,Results,7507365
SCN1AVariant,hasVariantType,TruncatingMutation,Results,7507365
SCN1AVariant,localizesTo,S4S6TransmembraneRegion,Results,7507365
S4S6TransmembraneRegion,isFunctionallyImportantFor,Nav1.1Channel,Results,7507365
BenignFamilialInfantileEpilepsy,isAssociatedWith,PRRT2Variant,Results,7507365
PRRT2Variant,commonlyIncludes,c649dupC_pArg217ProfsTer8,Results,7507365
PRRT2Variant,isAssociatedWith,ParoxysmalKinesigenicDyskinesia,Results,7507365
TargetedGenePanel,isEffectiveFor,GeneticEpilepsyDiagnosis,Discussion,7507365
YoungerSeizureOnset,predicts,HigherGeneticDiagnosticYield,Discussion,7507365
FamilyHistory,predicts,HigherGeneticDiagnosticYield,Discussion,7507365
ElectroclinicalSyndrome,improves,GeneticInterpretation,Discussion,7507365
GeneticDiagnosis,guides,AntiseizureMedicationSelection,Discussion,7507365
GeneticDiagnosis,guides,Prognosis,Discussion,7507365
GeneticDiagnosis,guides,GeneticCounseling,Discussion,7507365
DravetSyndrome,benefitsFrom,AvoidanceOfSodiumChannelBlocker,Discussion,7507365
SCN2AEncephalopathy,mayRespondTo,SodiumChannelBlocker,Discussion,7507365
GenotypePhenotypeCorrelation,isVariableIn,EarlyOnsetEpilepsy,Discussion,7507365
KCNQ2,encodes,Kv7.2PotassiumChannel,Introduction,7415140
Kv7.2PotassiumChannel,contributesTo,MCurrent,Introduction,7415140
MCurrent,limits,RepetitiveNeuronalFiring,Introduction,7415140
KCNQ2Mutation,causes,NeonatalOnsetEpilepsy,Introduction,7415140
KCNQ2Mutation,causes,NeonatalOnsetEpilepticEncephalopathy,Introduction,7415140
KCNQ2Mutation,causes,BenignFamilialNeonatalConvulsions,Introduction,7415140
NeurodevelopmentalOutcome,variesWith,KCNQ2Variant,Introduction,7415140
Kv7.2Channel,forms,HomomericChannel,Introduction,7415140
Kv7.2Channel,forms,HeteromericChannelWithKCNQ3,Introduction,7415140
HeteromericKv72Channel,hasRoleIn,Neurodevelopment,Introduction,7415140
Study,includes,KCNQ2VariantS247L,Methods,7415140
Study,includes,KCNQ2VariantS247W,Methods,7415140
Study,includes,KCNQ2VariantS247X,Methods,7415140
Study,includes,KCNQ2VariantP285T,Methods,7415140
HEK293Cell,usedFor,ElectrophysiologicalRecording,Methods,7415140
PatchClampRecording,measures,Kv72CurrentDensity,Methods,7415140
PatchClampRecording,measures,VoltageDependentActivation,Methods,7415140
PatchClampRecording,measures,SlopeConductance,Methods,7415140
HomomericExpression,uses,KCNQ2VariantOnly,Methods,7415140
HeteromericExpression,uses,KCNQ2AndKCNQ3,Methods,7415140
WesternBlot,assesses,KCNQ2ProteinExpression,Methods,7415140
Immunostaining,assesses,MembraneLocalization,Methods,7415140
KCNQ2VariantS247X,shows,AbsentMembraneExpression,Results,7415140
KCNQ2VariantS247X,produces,NonfunctionalHomomericCurrent,Results,7415140
KCNQ2VariantS247X,shows,RescuedHeteromericCurrent,Results,7415140
KCNQ2VariantS247X,isAssociatedWith,BenignFamilialNeonatalConvulsions,Results,7415140
KCNQ2VariantS247L,shows,ReducedCurrentDensity,Results,7415140
KCNQ2VariantS247W,shows,ReducedCurrentDensity,Results,7415140
KCNQ2VariantP285T,shows,ReducedCurrentDensity,Results,7415140
KCNQ2VariantS247L,impairs,HeteromericKv72Current,Results,7415140
KCNQ2VariantS247W,impairs,HeteromericKv72Current,Results,7415140
KCNQ2VariantP285T,impairs,HeteromericKv72Current,Results,7415140
KCNQ2VariantS247L,isAssociatedWith,NeonatalOnsetEpilepticEncephalopathy,Results,7415140
KCNQ2VariantS247W,isAssociatedWith,NeonatalOnsetEpilepticEncephalopathy,Results,7415140
KCNQ2VariantP285T,isAssociatedWith,NeonatalOnsetEpilepticEncephalopathy,Results,7415140
HeteromericKv72CurrentReduction,correlatesWith,PoorNeurodevelopmentalOutcome,Results,7415140
HomomericKv72CurrentReduction,doesNotPredict,NeurodevelopmentalOutcome,Results,7415140
HeteromericKv72ChannelFunction,isBetterPredictorOf,NeurodevelopmentalOutcome,Discussion,7415140
KCNQ3Coexpression,compensatesFor,Kv72FunctionalLoss,Discussion,7415140
NonsenseMutation,triggers,FunctionalCompensation,Discussion,7415140
MissenseMutation,failsToTrigger,FunctionalCompensation,Discussion,7415140
Kv72ChannelRescue,explains,BenignPhenotype,Discussion,7415140
Kv72ChannelFailure,explains,SevereEncephalopathy,Discussion,7415140
ElectrophysiologicalProfiling,supports,GenotypePhenotypeCorrelation,Discussion,7415140
SCN1A,encodes,Nav1.1SodiumChannel,Introduction,8345895
Nav1.1SodiumChannel,isExpressedIn,GABAergicNeuron,Introduction,8345895
SCN1ALossOfFunction,causes,Epilepsy,Introduction,8345895
SCN1AGainOfFunction,causes,HemiplegicMigraineType3,Introduction,8345895
HemiplegicMigraineType3,involves,CorticalSpreadingDepolarization,Introduction,8345895
DravetSyndrome,isAssociatedWith,SCN1ALossOfFunction,Introduction,8345895
SCN1AMutation,canProduce,NetworkHyperexcitability,Introduction,8345895
TwoNeuronMicrocircuitModel,includes,GABAergicNeuron,Methods,8345895
TwoNeuronMicrocircuitModel,includes,PyramidalNeuron,Methods,8345895
MicrocircuitModel,implements,IonConcentrationDynamics,Methods,8345895
MicrocircuitModel,implements,DynamicExtracellularPotassium,Methods,8345895
MicrocircuitModel,implements,DynamicExtracellularSodium,Methods,8345895
SCN1AFHM3Mutation,modeledBy,IncreasedPersistentSodiumCurrent,Methods,8345895
SCN1AEpileptogenicMutation,modeledBy,ReducedFastInactivatingSodiumConductance,Methods,8345895
GABAergicNeuron,isSiteOf,Nav1.1MutationModeling,Methods,8345895
Model,isSimulatedUsing,XPPAUT,Methods,8345895
IncreasedPersistentSodiumCurrent,amplifies,ExtracellularPotassiumAccumulation,Results,8345895
ExtracellularPotassiumAccumulation,triggers,CorticalSpreadingDepolarization,Results,8345895
SCN1AFHM3Mutation,induces,PotassiumDrivenHyperexcitability,Results,8345895
ReducedSodiumConductance,induces,DepolarizationBlock,Results,8345895
DepolarizationBlock,occursIn,GABAergicNeuron,Results,8345895
GABAergicNeuronDepolarizationBlock,reduces,InhibitoryControl,Results,8345895
ReducedInhibitoryControl,enhances,PyramidalNeuronFiring,Results,8345895
SCN1AEpileptogenicMutation,facilitates,SeizureInitiation,Results,8345895
IonConcentrationDynamics,alter,ReversalPotential,Results,8345895
SCN1AGainOfFunction,drives,CSDInitiation,Discussion,8345895
SCN1ALossOfFunction,drives,SeizureInitiation,Discussion,8345895
PotassiumAccumulation,isKeyMechanismFor,MigraineHyperexcitability,Discussion,8345895
DepolarizationBlock,isKeyMechanismFor,EpilepticHyperexcitability,Discussion,8345895
DifferentSCN1AMutations,produce,DistinctNetworkPhenotypes,Discussion,8345895
ComputationalModel,explains,MutationSpecificPathophysiology,Discussion,8345895
MicrocircuitApproach,links,IonDynamicsToDiseasePhenotype,Discussion,8345895
SCN1AMutation,isAssociatedWith,VariableEpilepsyPhenotype,Introduction,10431750
SCN1AMutation,isAssociatedWith,DravetSyndrome,Introduction,10431750
SCN1AMutation,isAssociatedWith,GEFSPlus,Introduction,10431750
DravetSyndrome,isA,DevelopmentalAndEpilepticEncephalopathy,Introduction,10431750
DravetSyndrome,hasEarlyOnset,Seizure,Introduction,10431750
DravetSyndrome,hasFeature,DrugResistantSeizure,Introduction,10431750
SCN1A,encodes,Nav1.1SodiumChannel,Introduction,10431750
Nav1.1SodiumChannel,isCriticalFor,GABAergicInterneuronFunction,Introduction,10431750
SCN1ADysfunction,alters,BrainNetworkDevelopment,Introduction,10431750
QuantitativeNeuroimaging,canDetect,SubtleStructuralAbnormality,Introduction,10431750
NetworkBasedAnalysis,captures,DistributedAtrophyPattern,Introduction,10431750
Study,includes,34SCN1APatients,Methods,10431750
Study,includes,34MatchedControls,Methods,10431750
SCN1APatients,include,DravetSyndromePatients,Methods,10431750
SCN1APatients,include,GEFSPlusPatients,Methods,10431750
SCN1APatients,carry,PathogenicSCN1AVariant,Methods,10431750
SCN1AVariant,identifiedBy,SangerSequencing,Methods,10431750
SCN1AVariant,identifiedBy,NextGenerationSequencing,Methods,10431750
SCN1APatients,evaluatedAt,TertiaryEpilepsyCenter,Methods,10431750
BrainMRI,includes,T1WeightedImaging,Methods,10431750
